symbol,year_id,sales,expenses,operating_profit,opm_pct,other_income,interest,depreciation,profit_before_tax,tax_pct,net_profit,eps,dividend_payout_pct,net_profit_margin_pct,expense_ratio_pct,interest_coverage,asset_turnover,return_on_assets
COALINDIA,202303,138252,684,94020.0,68.00624945751237,32,6560,6833,43275,27.0,31723,52.0,47.0,22.94578016954547,0.4947487197291902,14.332317073170731,0.6244557263907207,14.328623823375308
COALINDIA,202403,142324,819,94352.0,66.29380849329698,34,8396,6735,48813,23.0,37369,61.0,42.0,26.25628846856468,0.5754475703324808,11.237732253454025,0.6018691588785047,15.802850255846407
COALINDIA,999999,140328,875,93717.0,66.78424833247819,33,8145,8357,45523,,34350,56.0,,24.47836497349068,0.6235391368793113,11.506077348066299,,
DABUR,201303,6140,5148,992.0,16.156351791530945,100,59,85,948,19.0,766,4.0,34.0,12.47557003257329,83.84364820846906,16.8135593220339,1.3038861754087916,16.266723295816522
DABUR,201403,7058,5897,1162.0,16.463587418532164,126,54,97,1136,19.0,916,5.0,33.0,12.978180787758573,83.55058090110514,21.51851851851852,1.3286897590361446,17.24397590361446
DABUR,201503,7795,6475,1320.0,16.93393200769724,154,40,115,1319,19.0,1068,6.0,33.0,13.701090442591404,83.06606799230276,33.0,1.2766131673763512,17.490992466426466
DABUR,201603,7780,6261,1518.0,19.511568123393317,217,48,133,1554,19.0,1254,7.0,32.0,16.118251928020566,80.47557840616967,31.625,1.122331217541835,18.09001731102135
DABUR,201703,7614,6102,1512.0,19.858156028368796,296,54,143,1611,21.0,1280,7.0,31.0,16.811137378513266,80.1418439716312,28.0,0.9847387480600104,16.554578375581997
DABUR,201803,7722,6104,1617.0,20.94017094017094,291,53,162,1693,20.0,1358,8.0,81.0,17.586117586117584,79.04687904687904,30.50943396226415,0.8873822109859802,15.605607906228453
DABUR,201903,8515,6775,1740.0,20.434527304756312,222,60,177,1725,16.0,1446,8.0,34.0,16.981796829125074,79.56547269524368,29.0,1.0092449922958397,17.13879340997985
DABUR,202003,8685,6892,1792.0,20.63327576280944,205,50,220,1728,16.0,1448,8.0,37.0,16.672423719055843,79.3552101324122,35.84,0.9301702902431188,15.50819320981043
DABUR,202103,9562,7560,2002.0,20.937042459736457,325,31,240,2056,18.0,1695,10.0,50.0,17.72641706755909,79.06295754026354,64.58064516129032,0.8826733130250162,15.646635281085572
DABUR,202203,10889,8637,2252.0,20.681421618146754,308,39,253,2269,23.0,1742,10.0,53.0,15.997795940857745,79.31857838185324,57.743589743589745,0.8864376424617388,14.181048518397915
DABUR,202303,11530,9367,2162.0,18.751084128360798,445,78,311,2219,23.0,1701,10.0,54.0,14.752818733738074,81.24024284475281,27.71794871794872,0.8445648989159098,12.459712862584237
DABUR,202403,12404,10004,2400.0,19.348597226701063,482,124,399,2359,23.0,1811,10.0,53.0,14.600128990648178,80.65140277329894,19.35483870967742,0.8205874569992061,11.980682720296375
DABUR,999999,12447,10106,2341.0,18.807744838113603,537,152,424,2302,,1760,10.0,,14.139953402426286,81.1922551618864,15.401315789473685,,
DIVISLAB,201303,2145,1329,816.0,38.04195804195804,45,3,77,781,23.0,602,23.0,33.0,28.065268065268068,61.95804195804195,272.0,0.6833386428798981,19.17808219178082
DIVISLAB,201403,2532,1514,1018.0,40.20537124802528,68,3,92,991,22.0,773,29.0,34.0,30.529225908372826,59.79462875197472,339.3333333333333,0.6824797843665769,20.835579514824797
DIVISLAB,201503,3115,1942,1173.0,37.65650080256822,38,3,136,1072,21.0,852,32.0,31.0,27.351524879614768,62.34349919743178,391.0,0.7071509648127128,19.3416572077185
DIVISLAB,201603,3776,2354,1423.0,37.6853813559322,93,5,118,1393,19.0,1126,42.0,24.0,29.81991525423729,62.34110169491526,284.6,0.7709269089424254,22.988975091874234
DIVISLAB,201703,4064,2615,1450.0,35.67913385826771,72,3,123,1395,24.0,1060,40.0,25.0,26.08267716535433,64.34547244094489,483.3333333333333,0.6602761982128351,17.221770917952885
DIVISLAB,201803,3891,2622,1269.0,32.61372397841172,107,2,142,1231,29.0,877,33.0,30.0,22.539193009509123,67.38627602158827,634.5,0.5734708916728076,12.92557111274871
DIVISLAB,201903,4946,3072,1874.0,37.88920339668419,154,5,169,1855,27.0,1353,51.0,31.0,27.355438738374442,62.11079660331581,374.8,0.6154803384768541,16.83673469387755
DIVISLAB,202003,5394,3568,1826.0,33.852428624397476,186,7,186,1819,24.0,1377,52.0,31.0,25.528364849833146,66.14757137560252,260.85714285714283,0.6322822646817489,16.14113234087446
DIVISLAB,202103,6969,4102,2867.0,41.13933132443679,57,2,256,2666,26.0,1984,75.0,27.0,28.46893384990673,58.86066867556321,1433.5,0.6470151332281125,18.419831027759727
DIVISLAB,202203,8960,5075,3885.0,43.359375,112,2,312,3684,20.0,2960,112.0,27.0,33.035714285714285,56.640625,1942.5,0.6706586826347305,22.15568862275449
DIVISLAB,202303,7767,5397,2370.0,30.513711857860176,344,2,343,2369,23.0,1824,69.0,44.0,23.483970645036695,69.48628814213981,1185.0,0.5384402079722703,12.64471403812825
DIVISLAB,202403,7845,5635,2210.0,28.170809432759718,335,4,378,2163,26.0,1600,60.0,50.0,20.395156150414277,71.82919056724027,552.5,0.5074385510996119,10.34928848641656
DIVISLAB,999999,8614,6056,2558.0,29.69584397492454,359,3,386,2528,,1836,69.0,,21.31413977246343,70.30415602507546,852.6666666666666,,
DLF,201303,7773,5140,2633.0,33.87366525151164,1279,2314,796,802,17.0,667,4.0,48.0,8.580985462498392,66.12633474848836,1.137856525496975,0.1202375980323913,1.031757080761675
DLF,201403,8298,5805,2493.0,30.04338394793926,1133,2463,663,500,-16.0,590,4.0,55.0,7.1101470233791275,69.95661605206074,1.0121802679658953,0.12860131731886865,0.9143742735373886
DLF,201503,7649,4635,3014.0,39.40384363969146,503,2304,545,668,24.0,507,3.0,66.0,6.628317427114655,60.59615636030854,1.3081597222222223,0.11543569466662643,0.7651444266698862
DLF,201603,9926,5960,3966.0,39.955671972597216,506,2680,766,1026,55.0,305,2.0,117.0,3.07273826314729,60.044328027402784,1.4798507462686568,0.1607996241636832,0.4940951578674529
DLF,201703,8221,4775,3446.0,41.9170417224182,1135,2980,572,1030,22.0,708,4.0,50.0,8.612090986497993,58.082958277581795,1.1563758389261745,0.12854551709040873,1.1070456890890328
DLF,201803,6707,4329,2378.0,35.455494259728646,9722,2951,534,8615,50.0,4477,25.0,8.0,66.75115550916952,64.54450574027136,0.8058285327007794,0.11070396962944623,7.3896178922175455
DLF,201903,8366,6218,2148.0,25.67535261773847,784,2062,225,646,43.0,1314,6.0,33.0,15.706430791298112,74.32464738226153,1.0417070805043647,0.12583668005354753,1.9764451062677677
DLF,202003,6083,4937,1146.0,18.839388459641622,1135,1427,200,653,99.0,-590,-2.0,-85.0,-9.699161597895776,81.16061154035837,0.803083391730904,0.10883879048130256,-1.0556450169976739
DLF,202103,5414,3945,1469.0,27.133357960842257,383,853,159,840,43.0,1083,4.0,45.0,20.003694126339123,72.86664203915774,1.7221570926143024,0.10121896500149566,2.024753215674544
DLF,202203,5717,3974,1743.0,30.488018191359107,195,625,149,1165,28.0,1500,6.0,49.0,26.237537169844323,69.5119818086409,2.7888,0.111732171125921,2.931576992983759
DLF,202303,5695,3969,1726.0,30.307287093942055,317,392,149,1502,27.0,2034,8.0,49.0,35.71553994732221,69.69271290605793,4.403061224489796,0.10832762687362094,3.8689796850034237
DLF,202403,6427,4303,2124.0,33.04807841916913,531,356,148,2151,24.0,2724,11.0,45.0,42.38369379181578,66.95192158083087,5.966292134831461,0.10880495691479457,4.611555976908361
DLF,999999,7001,5116,1885.0,26.9247250392801,662,386,150,2010,,4004,16.0,,57.19182973860877,73.0752749607199,4.883419689119171,,
DMART,201303,3341,3126,215.0,6.435199042202933,15,43,46,141,34.0,94,2.0,0.0,2.8135288835677943,93.56480095779706,5.0,2.2392761394101877,6.3002680965147455
DMART,201403,4686,4345,341.0,7.276995305164319,16,56,57,245,34.0,161,3.0,0.0,3.4357661118224496,92.72300469483568,6.089285714285714,2.5918141592920354,8.904867256637168
DMART,201503,6439,5983,456.0,7.081845006988663,20,72,82,323,34.0,212,4.0,0.0,3.292436713775431,92.91815499301134,6.333333333333333,2.7341825902335457,9.00212314225053
DMART,201603,8584,7919,664.0,7.735321528424977,17,91,98,492,35.0,320,6.0,0.0,3.727865796831314,92.25302889095992,7.2967032967032965,2.7672469374597033,10.31592520954223
DMART,201703,11898,10929,969.0,8.144225920322743,28,122,128,747,36.0,479,8.0,0.0,4.025886703647672,91.85577407967726,7.942622950819672,2.044681216703901,8.23165492352638
DMART,201803,15033,13680,1353.0,9.000199560965875,88,60,159,1222,34.0,806,13.0,0.0,5.361537949843678,90.99980043903413,22.55,2.6616501416430594,14.270538243626063
DMART,201903,20005,18371,1633.0,8.162959260184955,48,47,212,1422,37.0,902,14.0,0.0,4.508872781804548,91.83204198950263,34.744680851063826,2.8554096488723952,12.874678846702825
DMART,202003,24870,22742,2128.0,8.556493767591476,60,69,374,1745,25.0,1301,20.0,0.0,5.231202251708886,91.44350623240852,30.840579710144926,2.0594567737661476,10.77343491222259
DMART,202103,24143,22398,1745.0,7.227767883030278,194,42,414,1483,26.0,1099,17.0,0.0,4.5520440707451435,92.77223211696972,41.54761904761905,1.7680703039179788,8.048333943610398
DMART,202203,30976,28474,2502.0,8.077221074380166,114,54,498,2064,28.0,1492,23.0,0.0,4.8166322314049586,91.92277892561982,46.333333333333336,2.0021976601383233,9.64384978346584
DMART,202303,42840,39201,3639.0,8.494397759103641,128,67,639,3060,22.0,2378,37.0,0.0,5.550887021475257,91.50560224089635,54.3134328358209,2.3661971830985915,13.134493233913282
DMART,202403,50789,46683,4106.0,8.084427730414067,145,58,731,3461,27.0,2536,39.0,0.0,4.993207190533383,91.91557226958594,70.79310344827586,2.398875873795579,11.978084262233137
DMART,999999,57213,52737,4476.0,7.823396780451995,137,64,834,3716,,2720,42.0,,4.754164263366718,92.176603219548,69.9375,,
